"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
110,"NCT04072991","A Study Comparing the Effectiveness and Convenience of Dietary Therapy for Irritable Bowel Syndrome (IBS)",,"Recruiting","No Results Available","Irritable Bowel Syndrome","Other: dietary therapy","Change in Irritable bowel syndrome Severity Scoring System questionnaire","Sheffield Teaching Hospitals NHS Foundation Trust","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","105","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STH20655","April 18, 2019","November 30, 2021","November 30, 2021","August 28, 2019",,"October 22, 2020","Royal Hallamshire Hospital, Sheffield, South Yorkshire, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04072991"
111,"NCT02249169","Developing Novel Microbiota-Targeted Therapies for Irritable Bowel Syndrome",,"Active, not recruiting","No Results Available","Irritable Bowel Syndrome",,"Change in gut microbiome in patients with IBS compared to healthy individuals measured over 6 months","Mayo Clinic|University of Minnesota","All","18 Years to 65 Years   (Adult, Older Adult)",,"84","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","14-000305","May 2014","December 2021","December 2021","September 25, 2014",,"February 21, 2021","Mayo Clinic, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT02249169"
112,"NCT02970591","A Comparison of Three Different Treatment Options for Irritable Bowel Syndrome","Car-IBS","Recruiting","No Results Available","Irritable Bowel Syndrome","Other: Traditional dietary advice and low FODMAP content|Other: Low carbohydrate diet|Other: Optimized Medical treatment","Change in IBS-SSS|Change in metabolic profile|Change in microbiota content","Sahlgrenska University Hospital, Sweden","All","18 Years and older   (Adult, Older Adult)","Not Applicable","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care","Car-IBS 1511-01","January 2017","December 2021","June 2022","November 22, 2016",,"October 22, 2020","Magnus Simren, Gothenburg, Non-US/Non-Canadian, Sweden",,"https://ClinicalTrials.gov/show/NCT02970591"
113,"NCT04095988","Allogeneic Microbiota-reconstitution (AMR) in Diarrhea-predominant Irritable Bowel Syndrome (IBS-D)","AMIRA","Active, not recruiting","No Results Available","Diarrhea-predominant Irritable Bowel Syndrome","Procedure: Allogeneic microbiota reconstitution|Procedure: Placebo-Allogeneic microbiota reconstitution","Decrease of the IBS-SSS questionnaire > 105 Points compared to baseline|Improvement of IBS-QOL using IBS-QOL-questionnaire compared to baseline|Changes and acceptance of donor microbiome (16S rDNA-analysis)|Number of participants with treatment related adverse events","University of Ulm|Klinikum Ludwigsburg|Helios Klinikum Krefeld|Charite University, Berlin, Germany|Assign International, Berlin, Germany","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","42","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","AMIRA|2016-002550-20","September 2016","December 2020","May 2021","September 19, 2019",,"January 31, 2020","Helios Klinikum Krefeld, Krefeld, Germany|Ulm University Hospital, Ulm, Germany",,"https://ClinicalTrials.gov/show/NCT04095988"
114,"NCT04136587","The Bacterial Secretome in IBD",,"Recruiting","No Results Available","Inflammatory Bowel Diseases","Other: Colonic fluid collection during endoscopy for analysis of the bacterial secretome","Concentration of proinflammatory cytokines of bacterial fractions in IBD compared to healthy controls|Concentration of proinflammatory cytokines of bacterial fractions in relation to disease activity|Concentration of proinflammatory cytokines of bacterial fractions in relation to disease type|Concentration of proinflammatory cytokines of bacterial fractions in other colonic diseases","Medical University of Graz","All","18 Years and older   (Adult, Older Adult)","Not Applicable","90","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","17-199 ex 05/06","June 1, 2019","June 2021","June 2021","October 23, 2019",,"March 2, 2021","Medical University of Graz, Graz, Austria",,"https://ClinicalTrials.gov/show/NCT04136587"
115,"NCT03983434","Irritable Bowel Syndrome and Control Volunteers: Diet Challenge",,"Recruiting","No Results Available","IBS - Irritable Bowel Syndrome","Dietary Supplement: Inulin","Total fecal bile acids|Total fecal short chain fatty acids|Individual fecal short chain fatty acids|Fecal microbial population|Fecal inulin|Percent primary fecal bile acids|Stool characteristics","Indiana University|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","All","18 Years to 65 Years   (Adult, Older Adult)","Early Phase 1","72","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","1903209172|K23DK122015","August 13, 2019","May 31, 2022","September 30, 2022","June 12, 2019",,"May 20, 2021","Indiana University, Indianapolis, Indiana, United States",,"https://ClinicalTrials.gov/show/NCT03983434"
116,"NCT04083157","Intra-dermal With Topical Imiquimod Pretreatment Versus Intra-muscular Hepatitis B Vaccination in IBD Patients",,"Active, not recruiting","No Results Available","Inflammatory Bowel Diseases|Hepatitis B","Biological: Intradermal hepatitis B vaccine with imiquimod|Biological: Intramuscular hepatitis B vaccine with aqueous cream","Sero-protection rate to HBV|Injection site adverse effect of intradermal hepatitis B vaccine in IBD patients|Systemic adverse effect of intradermal hepatitis B vaccine in IBD patients|Sero-protection rate to HBV at 1 and 6 months after dose of vaccine|Percentage of good responder defined as anti-HBs ≥ 100 IU/L|Geometric mean concentration of anti-HBs at 1, 6 and 12 months after first dose of vaccine","The University of Hong Kong","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IBDHepBVaccine","August 12, 2019","December 30, 2020","December 30, 2021","September 10, 2019",,"April 29, 2021","Queen Mary Hospital, Hong Kong, China",,"https://ClinicalTrials.gov/show/NCT04083157"
117,"NCT03948854","Implementing a Low FODMAP Diet in Irritable Bowel Syndrome Patients",,"Enrolling by invitation","No Results Available","IBS - Irritable Bowel Syndrome","Other: Registered dietitian|Other: On-line video program|Other: Printed handout|Other: Dietitian-led group","Improvement in IBS symptoms","Mayo Clinic","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","18-011391","May 22, 2019","May 22, 2021","May 22, 2021","May 14, 2019",,"November 27, 2020","Mayo Clinic in Florida, Jacksonville, Florida, United States",,"https://ClinicalTrials.gov/show/NCT03948854"
118,"NCT03116568","Bacterial Transmission In Utero and IBD Risk",,"Recruiting","No Results Available","IBD|Pregnancy Related|Microbiota",,"Relation of microbiota in the gut between mother and new-borns","Chinese University of Hong Kong","All","up to 100 Years   (Child, Adult, Older Adult)",,"180","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","The Meconium Study","April 24, 2017","April 14, 2022","September 27, 2027","April 17, 2017",,"June 28, 2018","The Chinese University of Hong Kong, Sha Tin, Hong Kong",,"https://ClinicalTrials.gov/show/NCT03116568"
119,"NCT00880594","Irritable Bowel Syndrome (IBS) Functional Magnetic Resonance Imaging (fMRI) With Desipramine",,"Active, not recruiting","No Results Available","Irritable Bowel Syndrome","Drug: Desipramine","Changes in brain activations using functional MR following desipramine therapy in IBS populations.","Washington University School of Medicine","Female","18 Years to 90 Years   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","09-0013","February 2009","May 2021","May 2021","April 14, 2009",,"July 16, 2020","Washington University School of Medicine, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT00880594"
120,"NCT04380922","Prevalence of Periodontal Diseases in IBD","MICIMaP","Recruiting","No Results Available","Inflammatory Bowel Diseases|Periodontal Diseases","Other: Periodontal screening","Prevalence of Periodontal Disease|Gingivitis|Oral mucosa dermatological manifestations secondary to IBD|Oral Health Quality of Life|Oral treatment need","CHU de Reims","All","18 Years to 70 Years   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Other|Time Perspective: Prospective","PO20062*","June 19, 2020","December 19, 2021","December 2022","May 8, 2020",,"June 8, 2021","Chu Reims, Reims, France",,"https://ClinicalTrials.gov/show/NCT04380922"
121,"NCT04757493","The Effects of Prucalopride in Patients With Constipation Predominant Irritable Bowel Syndrome",,"Recruiting","No Results Available","Irritable Bowel Syndrome","Drug: Prucalopride 2mg","Assess the Change of IBS symptoms from baseline by using IBS-Symptom Severity Score|Assess the change of quality of life from baseline by using IBS- Quality of life questionnaire","Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2|Phase 3","160","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","BSMMU/2021/394","March 10, 2021","June 2021","June 2021","February 17, 2021",,"March 11, 2021","Shahbag, Dhaka, Bangladesh",,"https://ClinicalTrials.gov/show/NCT04757493"
122,"NCT04808271","The Effects of Bifidobacterium Breve Bif195 for Diarrhea-predominant Irritable Bowel Syndrome",,"Recruiting","No Results Available","Irritable Bowel Syndrome","Dietary Supplement: Bifidobacterium breve Bif195|Dietary Supplement: Placebo","Change in IBS symptoms from baseline measured by IBS-severity scoring system (IBS-SSS) at 8 weeks|Change in quality of life from baseline measured by Irritable Bowel Syndrome-Quality of Life (IBS-QOL) Questionnaire Scores at 8 weeks|Changes from baseline in bowel habits at 8 weeks|Change from baseline in abdominal pain at 8 weeks|Adverse events","Hvidovre University Hospital|Chr Hansen","All","18 Years to 60 Years   (Adult)","Not Applicable","60","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","H-20060730","April 16, 2021","April 30, 2024","November 30, 2030","March 22, 2021",,"April 22, 2021","Hvidovre Hospital, Copenhagen University, Hvidovre, Copenhagen, Denmark|Copenhagen University Hospital Hvidovre, Hvidovre, Denmark",,"https://ClinicalTrials.gov/show/NCT04808271"
123,"NCT04542018","Effects of Low FODMAP Diet on Colonic Epithelial Physiology in Diarrhea-predominant Irritable Bowel Syndrome",,"Recruiting","No Results Available","Irritable Bowel Syndrome","Other: a low FODMAP diet for 4 weeks","Lactulose Mannitol excretion|Changes in epithelial permeability|Changes in stool microbiome","University of Michigan","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","HUM00166423","August 3, 2020","September 2023","September 2023","September 9, 2020",,"September 9, 2020","University of Michigan, Ann Arbor, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT04542018"
124,"NCT03449628","L. Casei DG® in Patients With Irritable Bowel Syndrome.","PROBE2","Active, not recruiting","No Results Available","IBS - Irritable Bowel Syndrome","Dietary Supplement: L.casei DG|Dietary Supplement: PLACEBO","Proportion of patients who have a response in pain|Proportion of patients who have a response in stool consistencies|Evaluation of Pain relief|Evaluation of global symptom score|Relief of IBS symptoms|IBS-SSS score questionnaire (Severity Scoring System )|Improvement in stool consistency|Satisfaction with treatment|Quality of life|Intake of rescue medication|gut microbiota composition|Short Chain Fatty Acids (SCFA)|Free Aminoacids|Biogenic Amines|Gut permeability for zonulin|Gut permeability for citrulline|Gut permeability for PV-1 (Plasmalemma vesicle-associated) protein|L. casei DG® strain in the feces","SOFAR S.p.A.|1Med","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","264","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","PSC-DS PROBE2-IBS/17","November 6, 2017","May 4, 2021","June 30, 2021","February 28, 2018",,"April 27, 2021","A.O. Bolognini, Seriate, BG, Italy|A.O. ""G. Brotzu""- Ospedale San Michele, Cagliari, CA, Italy|AOU di Cagliari - Policlinico di Monserrato, Cagliari, CA, Italy|Ospedale Valduce, Como, CO, Italy|ASST-FTB-Sacco, Milano, MI, Italy|Policlinico San Donato, San Donato Milanese, MI, Italy|Ospedale Sant'Andrea, Vercelli, VC, Italy|Gastroenterologia Universitaria Policlinico Giovanni XXIII, Bari, Italy|Azienda ULSS 1, Belluno, Italy|Azienda Ospedaliero-Universitaria S. Orsola Malpighi, Bologna, Italy|Ospedale SS. Annunziata, Chieti, Italy|Fondazione IRCCS Policlinico, Milano, Italy|Policlinico, Napoli, Italy|Policlinico Federico II, Napoli, Italy|Azienda Ospedaliera di Padova, Padova, Italy|Fondazione IRCCS Policlinico S. Matteo, Pavia, Italy|U.O. Gastroenterologia Universitaria, Pisa, Italy|Policlinico Universitario Campus Biomedico, Roma, Italy|A.O. San Camillo-Forlanini, Roma, Italy|Ospedale Sant'Andrea, Roma, Italy",,"https://ClinicalTrials.gov/show/NCT03449628"
125,"NCT04053790","Lactobacillus LB as Treatment for Irritable Bowel Syndrome With Predominance of Diarrhea (IBS-D)",,"Active, not recruiting","No Results Available","Irritable Bowel Syndrome With Diarrhea","Drug: lactobacillus LB|Other: placebo","decrease in the number of stools per day|improvement in the consistency of the stools according to Bristol scale.|improvement in bloating measured by a Likert scale (0-4)|improvement in abdominal pain measured by a Likert scale (0-4)","Hospital General de Mexico","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 4","177","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","DI/18/107/03/080","January 15, 2019","August 2021","December 2021","August 13, 2019",,"February 11, 2021","Hospital General de Mexico, Mexico City, Mexico",,"https://ClinicalTrials.gov/show/NCT04053790"
126,"NCT04899869","Faecal Microbiota Transplantation in Irritable Bowel Syndrome","MISCEAT","Recruiting","No Results Available","Irritable Bowel Syndrome With Diarrhea|Irritable Bowel Syndrome Mixed","Other: Faecal microbiota transplantation with active study microbiota first|Other: Faecal microbiota transplantation with inactive autoclaved study microbiota first|Other: Faecal microbiota transplantation with inactive autoclaved study microbiota only","Change in the IBS severity symptom score (IBS-SSS)|The acute change in the IBS severity symptom score|The long-term change in the IBS severity symptom score","Thomayer University Hospital|Charles University, Czech Republic","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","INT_TN_001","June 8, 2021","June 30, 2023","December 31, 2023","May 25, 2021",,"June 9, 2021","Thomayer University Hospital, Prague, Czechia",,"https://ClinicalTrials.gov/show/NCT04899869"
127,"NCT03432078","Individual vs. Group Hypnotherapy in Patients With Irritable Bowel Syndrome",,"Active, not recruiting","No Results Available","IBS - Irritable Bowel Syndrome","Other: Hypnotherapy","Change of Gastrointestinal symptom severity","Sahlgrenska University Hospital, Sweden","All","18 Years to 67 Years   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","686-11","August 15, 2011","December 31, 2019","December 31, 2025","February 13, 2018",,"October 22, 2020",,,"https://ClinicalTrials.gov/show/NCT03432078"
128,"NCT03245645","FODMAP Reintroduction in Irritable Bowel Syndrome",,"Enrolling by invitation","No Results Available","Irritable Bowel Syndrome With Diarrhea|Irritable Bowel Syndrome With Mixed Bowel Habits","Other: Dietary Intervention","Adequate relief of IBS symptoms in past 7 days|Highest amount of grams of sugar in solutions that do not significantly increase IBS symptoms|Change in IBS-symptom severity scale|Change in Visceral Sensitivity Index (VSI)|Change in Personal Health Questionnaire (PHQ-15)|Change in abdominal pain severity|Change in overall severity of gastrointestinal symptoms|Change in severity of the sensation of bloating, abdominal fullness or visible distension|Change in intestinal microbiota|Change in visceral sensitivity index score","University of California, Los Angeles","All","18 Years and older   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","16-000934","March 24, 2017","June 30, 2021","June 30, 2021","August 10, 2017",,"January 28, 2021","UCLA, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT03245645"
129,"NCT04748627","Global IBD Visualization of Epidemiology Studies (GIVES) in the 21st Century","GIVES-21","Not yet recruiting","No Results Available","Inflammatory Bowel Diseases|Ulcerative Colitis|Crohn Disease",,"Incidence of IBD|Geographical effect","Chinese University of Hong Kong|University of Calgary","All","18 Years and older   (Adult, Older Adult)",,"400","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","GIVES-21","June 2021","November 2022","November 2023","February 10, 2021",,"May 6, 2021",,,"https://ClinicalTrials.gov/show/NCT04748627"
130,"NCT04613479","Frequency of Hepatobilliary Manifestations in Patients With Inflammatory Bowel Disease",,"Not yet recruiting","No Results Available","Hepatobilliary Manifestations in Inflammatory Bowel Disease Patients",,"The prevelance of hepatobilliary manifestations in IBD patients","Assiut University","All","18 Years to 60 Years   (Adult)",,"60","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Inflammatory bowel disease","December 1, 2020","December 1, 2021","June 1, 2022","November 3, 2020",,"November 13, 2020",,,"https://ClinicalTrials.gov/show/NCT04613479"
131,"NCT04830410","The Effects of Carbohydrates in Irritable Bowel Syndrome","FIBS","Recruiting","No Results Available","Irritable Bowel Syndrome With Diarrhea","Dietary Supplement: Fructan reintroduction|Dietary Supplement: Placebo reintroduction","IBS-SSS|visceral sensitivity|change in intestinal gas production|change in gas production|change in microbiota|Change in metabolomics profiles|change in stool form and frequency|GSRS-IBS|HAD|VSI|IBSQOL|PHQ12|CSI","Sahlgrenska University Hospital, Sweden|Atmo Biosciences|Beneo-Institute","All","18 Years to 50 Years   (Adult)","Not Applicable","70","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","FIBS 2020-03644","March 30, 2021","June 2022","June 2022","April 5, 2021",,"April 5, 2021","Sahlgrenska University Hospital, Göteborg, Sweden",,"https://ClinicalTrials.gov/show/NCT04830410"
132,"NCT04067778","IBD Neoplasia Surveillance Pilot RCT","IBDDysplasia","Recruiting","No Results Available","Inflammatory Bowel Diseases|Colonic Neoplasms|Dysplasia","Diagnostic Test: Intervention Group|Diagnostic Test: Control Group","Overall Number of Participants Enrolled|Rate of Protocol Adherence|Rate of overall neoplasia detection|Adverse Events occurrence|Rate of Study Variables|Rate of Missed 2-Week Post-Procedural Assessment for Complications","Ottawa Hospital Research Institute|Health Sciences Centre, Winnipeg, Manitoba|Western University, Canada|University of Toronto|Hamilton Health Sciences Corporation|Hotel Dieu Hospital|Thunder Bay Regional Health Sciences Centre|Eastern Health|McGill University Health Centre/Research Institute of the McGill University Health Centre|Providence Health & Services|Royal Jubilee Hospital","All","18 Years and older   (Adult, Older Adult)","Not Applicable","400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic","20190428-01T","November 6, 2020","October 31, 2022","October 31, 2022","August 26, 2019",,"February 3, 2021","Eastern Regional Health Authority, St. John's, NFLD, Canada|Hamilton Health Sciences Corporation, Hamilton, Ontario, Canada|Ottawa Hospital Research Institute, Ottawa, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04067778"
133,"NCT04898530","Diet Patterns in IBD in Central Texas",,"Recruiting","No Results Available","Inflammatory Bowel Diseases|Crohn Disease|Ulcerative Colitis","Other: NO INTERVENTION","diet patterns|diet preferences|diet impact","University of Texas at Austin","All","18 Years and older   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Other|Time Perspective: Cross-Sectional","STUDY00000439","May 15, 2021","May 15, 2024","May 15, 2024","May 24, 2021",,"May 24, 2021","Dell Medical School, UT Austin, Austin, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04898530"
134,"NCT03177044","Behavioural Treatment for Functional Bowel Symptoms in Inflammatory Bowel Disease","LIBERATE","Active, not recruiting","No Results Available","Inflammatory Bowel Diseases|Functional Gastrointestinal Disorders","Behavioral: Behavioural treatment","Patient rating of improvement in symptoms|Change in Personal assessment of Constipation Symptoms (PAC-SYM) score|Change in St Marks Faecal Incontinence Score|Change in Inflammatory Bowel disease questionnaire (IBDQ) score|Change in Short Form -36 (SF-36) score|Change in Hospital Anxiety and Depression Score (HADS)|Change in Brief Illness Perception Questionnaire score|Change in Brief Cope score|Change in Inflammatory Bowel Disease Self-efficacy scale (IBD-SES)|Change in Euro-Qol (EQ-5D)","St Vincent's Hospital Melbourne","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","35","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HREC/17/SVHM/92","June 1, 2017","July 30, 2021","December 31, 2021","June 6, 2017",,"March 19, 2021","St Vincent's Hospital, Fitzroy, Victoria, Australia",,"https://ClinicalTrials.gov/show/NCT03177044"
135,"NCT04613466","The Prevelance of Pulmonary Manifestation in Patients With Inflammatory Bowel Disease",,"Not yet recruiting","No Results Available","The Prevelance and Complications of Pulmonary Manifestations in Patients With Inflammatory Bowel Disease",,"The presence of pulmonary manifestations in IBD patients","Assiut University","All","18 Years to 60 Years   (Adult)",,"60","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Gateroentrolgy unit","December 1, 2020","December 1, 2021","June 1, 2022","November 3, 2020",,"November 13, 2020",,,"https://ClinicalTrials.gov/show/NCT04613466"
136,"NCT04168047","Are Sleeping Disorders Associated With Visceral Hypersensitivity in Irritable Bowel Syndrome Patients ?","S3i","Not yet recruiting","No Results Available","Irritable Bowel Syndrome","Procedure: Barostat procedure|Other: Anxiety and Depression Evaluation|Other: Assessment of sleep quality","Pressure threshold measured during the barostat procedure|Score at HAD anxiety and depression scale|Score at Pittsburg sleep quality index","University Hospital, Rouen","All","18 Years and older   (Adult, Older Adult)","Not Applicable","77","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","2016/381/HP","July 2020","August 2023","August 2023","November 19, 2019",,"June 29, 2020","Rouen University Hospital, Rouen, France",,"https://ClinicalTrials.gov/show/NCT04168047"
137,"NCT04492787","Efficacy and Safety of Changkang Granule in the Treatment of Diarrhea-predominant Irritable Bowel Syndrome (IBS-D)",,"Recruiting","No Results Available","Irritable Bowel Syndrome With Diarrhea","Drug: Changkang Granule|Drug: Changkang Placebo Granule","Percentage of Participants Who Are Composite Responders Consistency Scores|Percentage of Participants Who Are Responders in Abdominal Pain Scores|Percentage of Participants Who Are Responders in Stool Consistency Scores|Change from baseline to each week during follow up for IBS-symptoms abdominal pain；|Change from baseline to each week during follow up for IBS-symptoms stool consistency;|Change from baseline to each week during follow up for IBS-symptoms bloating|Change from baseline to each week during follow up for IBS-symptoms urgency|Change from baseline to each week during follow up for IBS-symptoms Defecation frequency|Disappearance rate of traditional Chinese Medicine（TCM）symptom","Tasly Pharmaceutical Group Co., Ltd","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","240","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","TSL-TCM-CKKL-Ⅱ","June 6, 2020","June 30, 2022","October 30, 2022","July 30, 2020",,"July 30, 2020","Xiyuan Hospital, China Academy of Traditional Chinese Medicine, Beijing, China|Shengjing Hospital of China Medical University, Dalian, China|Gansu Provincial Hospital of TCM, Gansu, China|The first affiliated Hospital of Hunan University of Traditional Chinese Medicine, Hunan, China|Shuguang Hospital Affiliated to Shanghai University of Traditional Chinese Medicine, Shanghai, China|West China Hospital of Sichuan University, Sichuan, China|Wenzhou Hospital of Traditional Chinese Medicine, Wenzhou, China|Xiamen Hospital of Traditional Chinese Medicine, Xiamen, China",,"https://ClinicalTrials.gov/show/NCT04492787"
138,"NCT03827109","Peer Mentoring to Improve Self-management in Youth With IBD",,"Recruiting","No Results Available","Pediatric Crohns Disease|Pediatric Ulcerative Colitis|Inflammatory Bowel Diseases","Behavioral: Group educational activities|Behavioral: IBD educational website|Behavioral: Monthly check-in calls from program coordinator|Behavioral: Mentor|Behavioral: Fun group activities|Behavioral: Parent support group","12 month youth quality of life: PedsQL|18 month youth quality of life: PedsQL|12 month change from baseline Youth quality of life: PedsQL|18 month change from baseline Youth quality of life: PedsQL|12 month youth functional disability|18 month youth functional disability|12 month change from baseline youth functional disability|18 month change from baseline youth functional disability|12 month Youth disease outcomes - Crohn's Disease severity|12 month Youth disease outcomes - Ulcerative Colitis severity|18 month Youth disease outcomes - Crohn's Disease severity|18 month Youth disease outcomes - Ulcerative Colitis severity|12 month number of hospital admissions in previous 6 months|18 month number of hospital admissions in previous 6 months|12 month number of clinic appointments in previous 6 months|18 month number of clinic appointments in previous 6 months|12 month number of missed appointments in previous 6 months|18 month number of missed appointments in previous 6 months|12 month number of procedures in previous 6 months|18 month number of procedures in previous 6 months|12 months Mentor QOL|18 months Mentor QOL|12 month change from baseline Mentor QOL|12 month Parent QOL|12 month change from baseline Parent QOL","Laura Mackner|Children's Hospital Medical Center, Cincinnati|Rosalind Franklin University of Medicine and Science|Nationwide Children's Hospital","All","10 Years to 17 Years   (Child)","Not Applicable","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","R01NR017533","June 12, 2019","February 23, 2023","February 23, 2023","February 1, 2019",,"January 20, 2021","Abigail Wexner Research Institute at Nationwide Children's Hospital, Columbus, Ohio, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/09/NCT03827109/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/09/NCT03827109/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT03827109"
139,"NCT04217733","Ethosuximide and Pentoxifylline in the Treatment of Abdominal Pain Related to Irritable Bowel Syndrome",,"Recruiting","No Results Available","IBS - Irritable Bowel Syndrome","Drug: pentoxyifylline|Drug: Mebeverine|Drug: ethosuximide","Number of patients with improved Visual analog scales (VAS) for assessment of pain in IBS","Tanta University","All","18 Years and older   (Adult, Older Adult)","Phase 3","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","Sherief Protocol","November 1, 2019","December 1, 2030","December 30, 2030","January 3, 2020",,"January 3, 2020","Sherief Abd-Elsalam, Tanta, Egypt",,"https://ClinicalTrials.gov/show/NCT04217733"
140,"NCT04521205","A Multicenter Clinical Trial: Efficacy, Safety of Fecal Microbiota Transplantation for Inflammatory Bowel Disease",,"Recruiting","No Results Available","Inflammatory Bowel Disease, Ulcerative Colitis Type","Drug: fecal microbiota capsule","Clinical remission: the modified Mayo score and endoscopy","Zhongshan Hospital Xiamen University","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","XMZSYY-AF-SC-12-03","September 2020","September 2023","April 2024","August 20, 2020",,"August 20, 2020","Yanyun Fan, Xiamen, China",,"https://ClinicalTrials.gov/show/NCT04521205"
